mac_id,sensor_label,timestamp,value
925056043,co2,2026-01-31 18:53:54.721000+03:00,0.36
925056043,co2,2026-01-31 18:38:58.411000+03:00,0.47
925056043,co2,2026-01-31 18:33:59+03:00,0.46
925056043,co2,2026-01-31 18:29:39.528000+03:00,0.33
925056043,co2,2026-01-31 18:24:31.206000+03:00,0.75
925056043,co2,2026-01-31 18:18:58.420000+03:00,0.2
925056043,co2,2026-01-31 18:13:58.553000+03:00,0.4
925056043,co2,2026-01-31 18:08:58.438000+03:00,0.56
925056043,co2,2026-01-31 18:03:58.957000+03:00,0.46
925056043,co2,2026-01-31 17:58:58.993000+03:00,0.41
925056043,co2,2026-01-31 17:53:59.086000+03:00,0.3
925056043,co2,2026-01-31 17:44:43.826000+03:00,0.13
925056043,co2,2026-01-31 17:39:44+03:00,0.9
925056043,co2,2026-01-31 17:29:45.179000+03:00,0.14
925056043,co2,2026-01-31 17:24:43.894000+03:00,0.31
925056043,co2,2026-01-31 17:19:43.905000+03:00,0.75
925056043,co2,2026-01-31 17:14:43.902000+03:00,0.44
925056043,co2,2026-01-31 17:09:43.946000+03:00,0.27
925056043,co2,2026-01-31 17:04:44.110000+03:00,0.37
925056043,co2,2026-01-31 17:00:25.113000+03:00,0.46
925056043,co2,2026-01-31 16:55:25.104000+03:00,0.37
925056043,co2,2026-01-31 16:49:44.090000+03:00,0.7
925056043,co2,2026-01-31 16:44:44.019000+03:00,0.3
925056043,co2,2026-01-31 16:35:28.790000+03:00,0.44
925056043,co2,2026-01-31 16:30:29+03:00,0.7
925056043,co2,2026-01-31 16:21:12.880000+03:00,0.32
925056043,co2,2026-01-31 16:11:57.744000+03:00,0.59
925056043,co2,2026-01-31 16:02:42.871000+03:00,0.45
925056043,co2,2026-01-31 15:54:08.592000+03:00,0.36
925056043,co2,2026-01-31 15:48:28+03:00,0.77
925056043,co2,2026-01-31 15:43:27.479000+03:00,0.47
925056043,co2,2026-01-31 15:38:27.472000+03:00,0.62
925056043,co2,2026-01-31 15:33:28.258000+03:00,0.04
925056043,co2,2026-01-31 15:28:28.258000+03:00,0.41
925056043,co2,2026-01-31 15:23:28.176000+03:00,0.48
925056043,co2,2026-01-31 15:14:12.985000+03:00,0.48
925056043,co2,2026-01-31 15:09:53.629000+03:00,0.51
925056043,co2,2026-01-31 15:09:13+03:00,0.51
925056043,co2,2026-01-31 14:59:12.888000+03:00,0.55
925056043,co2,2026-01-31 14:54:13.010000+03:00,0.56
925056043,co2,2026-01-31 14:44:12.976000+03:00,0.49
925056043,co2,2026-01-31 14:39:12.995000+03:00,0.07
925056043,co2,2026-01-31 14:34:54.002000+03:00,0.38
925056043,co2,2026-01-31 14:29:12.949000+03:00,0.49
925056043,co2,2026-01-31 14:24:13.036000+03:00,0.53
925056043,co2,2026-01-31 14:19:12.948000+03:00,0.21
925056043,co2,2026-01-31 14:14:13.011000+03:00,0.72
925056043,co2,2026-01-31 14:09:12.999000+03:00,0.15
925056043,co2,2026-01-31 14:04:12.995000+03:00,0.54
925056043,co2,2026-01-31 13:59:13.106000+03:00,0.59
925056043,co2,2026-01-31 13:54:13.235000+03:00,0.4
925056043,co2,2026-01-31 13:49:13.222000+03:00,0.3
925056043,co2,2026-01-31 13:44:13.099000+03:00,0.36
925056043,co2,2026-01-31 13:39:11.988000+03:00,0.09
925056043,co2,2026-01-31 13:38:10.932000+03:00,0.2
925056043,co2,2026-01-31 13:33:10.941000+03:00,0.28
925056043,co2,2026-01-31 13:28:10.562000+03:00,0.35
925056043,co2,2026-01-31 13:23:10.542000+03:00,0.45
925056043,co2,2026-01-31 13:18:10.517000+03:00,0.42
925056043,co2,2026-01-31 13:13:10.480000+03:00,0.34
925056043,co2,2026-01-31 13:08:10.457000+03:00,0.65
925056043,co2,2026-01-31 13:03:10.495000+03:00,0.58
925056043,co2,2026-01-31 12:58:10.426000+03:00,0.44
925056043,co2,2026-01-31 12:53:10.451000+03:00,0.24
925056043,co2,2026-01-31 12:48:10.459000+03:00,0.13
925056043,co2,2026-01-31 12:43:10.461000+03:00,0.45
925056043,co2,2026-01-31 12:38:10.463000+03:00,0.75
925056043,co2,2026-01-31 12:33:10.469000+03:00,0.38
925056043,co2,2026-01-31 12:28:10.897000+03:00,0.53
925056043,co2,2026-01-31 12:23:11.049000+03:00,0.7
925056043,co2,2026-01-31 12:18:11.024000+03:00,0.55
925056043,co2,2026-01-31 12:13:11.007000+03:00,0.36
925056043,co2,2026-01-31 12:08:11.027000+03:00,0.07
925056043,co2,2026-01-31 12:03:10.869000+03:00,0.44
925056043,co2,2026-01-31 11:58:10.759000+03:00,0.38
925056043,co2,2026-01-31 11:53:10.721000+03:00,0.5
925056043,co2,2026-01-31 11:48:10.727000+03:00,0.66
925056043,co2,2026-01-31 11:43:10.700000+03:00,0.24
925056043,co2,2026-01-31 11:38:10.644000+03:00,0.09
925056043,co2,2026-01-31 11:33:10.670000+03:00,0.75
925056043,co2,2026-01-31 11:28:41.252000+03:00,0.46
925056043,co2,2026-01-31 11:23:10.758000+03:00,0.16
925056043,co2,2026-01-31 11:18:10.876000+03:00,0.51
925056043,co2,2026-01-31 11:13:26.171000+03:00,0.56
925056043,co2,2026-01-31 11:03:55.651000+03:00,0.54
925056043,co2,2026-01-31 10:58:56+03:00,0.42
925056043,co2,2026-01-31 10:53:55.608000+03:00,0.44
925056043,co2,2026-01-31 10:48:55.553000+03:00,0.62
925056043,co2,2026-01-31 10:44:26.129000+03:00,0.51
925056043,co2,2026-01-31 10:34:40.267000+03:00,0.28
925056043,co2,2026-01-31 10:26:06.325000+03:00,0.53
925056043,co2,2026-01-31 10:20:25+03:00,0.35
925056043,co2,2026-01-31 10:11:10.128000+03:00,0.26
925056043,co2,2026-01-31 10:06:10+03:00,0.27
925056043,co2,2026-01-31 09:56:34.777000+03:00,0.23
925056043,co2,2026-01-31 09:46:54.049000+03:00,0.12
925056043,co2,2026-01-31 09:45:22.743000+03:00,0.38
925056043,co2,2026-01-31 09:40:23+03:00,0.72
925056043,co2,2026-01-31 09:25:02.799000+03:00,0.62
925056043,co2,2026-01-31 08:59:50.106000+03:00,0.7
925056043,co2,2026-01-31 08:54:50+03:00,0.59
925056043,co2,2026-01-31 08:45:09.588000+03:00,0.67
925056043,co2,2026-01-31 08:35:33.550000+03:00,0.46
925056043,co2,2026-01-31 08:35:14.116000+03:00,0.57
925056043,co2,2026-01-31 08:34:34+03:00,0.57
925056043,co2,2026-01-31 08:11:58.598000+03:00,0.36
925056043,co2,2026-01-31 08:01:17.535000+03:00,0.67
925056043,co2,2026-01-31 07:56:17.646000+03:00,0.51
925056043,co2,2026-01-31 07:42:01.595000+03:00,0.37
925056043,co2,2026-01-31 07:37:02+03:00,0.13
925056043,co2,2026-01-31 07:27:03.133000+03:00,0.58
925056043,co2,2026-01-31 07:22:01.934000+03:00,0.32
925056043,co2,2026-01-31 07:17:01.935000+03:00,0.34
925056043,co2,2026-01-31 07:08:27.842000+03:00,0.43
925056043,co2,2026-01-31 06:58:27.007000+03:00,0.51
925056043,co2,2026-01-31 06:52:47.025000+03:00,0.56
925056043,co2,2026-01-31 06:47:30.703000+03:00,0.48
925056043,co2,2026-01-31 06:46:31+03:00,0.35
925056043,co2,2026-01-31 06:43:11.694000+03:00,0.22
925056043,co2,2026-01-31 06:36:14+03:00,0.62
925056043,co2,2026-01-31 06:21:14.547000+03:00,0.59
925056043,co2,2026-01-31 06:16:14.665000+03:00,0.55
925056043,co2,2026-01-31 06:06:14.632000+03:00,0.55
925056043,co2,2026-01-31 06:01:14.567000+03:00,0.49
925056043,co2,2026-01-31 05:46:14.618000+03:00,0.2
925056043,co2,2026-01-31 05:41:14.428000+03:00,0.22
925056043,co2,2026-01-31 05:31:59.303000+03:00,0.29
925056043,co2,2026-01-31 05:27:39.999000+03:00,0.18
925056043,co2,2026-01-31 05:26:59+03:00,0.18
925056043,co2,2026-01-31 05:06:59.177000+03:00,0.38
